날짜,종목명,제목,점수,라벨링
2021-08-23,에스엠,"레드벨벳 조이♥크러쉬, 4살차 커플 탄생…“최근 호감 가지고 만나”",1,1
2021-08-11,에스엠,美서도 ‘엑소 출신’ 크리스 성폭행 폭로…“흰 알약에 정신 잃어”,-2,-1
2021-08-15,에스엠,"태연 신곡, 창법·콘셉트 다 ‘도자캣’인데... 표절은 아니라고?",2,1
2021-07-23,에스엠,"中공안, ‘미성년 성관계 의혹’ 크리스 정식 조사",-2,-1
2021-07-21,에스엠,"‘불법 유흥주점 방문’ 유노윤호, 동심 예능으로 복귀 논란",0,0
2021-07-07,에스엠,"“많이 먹으면 ‘돼지’, 조금 먹으면 ‘까탈’”… 태연, 악플에 일침",0,0
2021-06-16,에스엠,"카카오가 네이버 처음 제쳤다, 김범수·이해진 ‘IT 왕좌의 게임’",0,0
2021-06-24,에스엠,슈퍼주니어가 ‘국민의힘 대변인 오디션’ 지원?…  “사실무근”,1,1
2021-06-23,에스엠,"데뷔 8개월 차 ‘에스파’, BTS 누르고 멜론 차트 1위",2,1
2021-06-12,에스엠,"
			엑소 카이의 ‘패완핏(fit)’ 댄스!... tvN ‘악마는 정남이를 입는다 시즌2’
		",0,0
2021-05-21,에스엠,"보송보송 털실, 지퍼,단추... 가상세계서 보고 산다",0,0
2021-04-16,에스엠,"K팝, 세계 음악산업의 키를 잡다",1,1
2021-04-16,에스엠,"“한국 드라마 따윈 볼 일 없을 거랬는데… 빌어먹을, 내가 빠져버렸네”",1,1
2021-03-16,에스엠,北선전매체 “블랙핑크 한국서 노예취급 당해”,0,0
2021-02-15,에스엠,방탄·블랙핑크·가가… 온라인 공연 한곳서 본다,1,1
2021-03-09,에스엠,"유노윤호, 방역수칙 위반 수사받아… 청담동 음식점서 자정까지",-1,-1
2021-02-27,에스엠,"마이크, 앰프에 미러볼까지… “집에 노래방 차렸습니다”",0,0
2021-02-26,에스엠,그의 시선으로… 재창조된 우아함,0,0
2021-01-28,에스엠,"빅히트 ‘위버스’ 지분 49%, 네이버에 넘긴다",0,0
2021-01-27,에스엠,"네이버, 빅히트에 4119억 투자... K팝 괴물앱 만든다",1,1
2021-01-03,에스엠,"일회성 아닌 ‘구독권’, 충성도 높은 해외팬… 랜선 콘서트는 쭈욱~ 갈거야",0,0
2021-01-29,에스엠,"[이혜운의 뉴스 저격] 美 팝스타도, 힙합 1인자도 한류 마니아… ‘3차 한류’ 날개 달았다",3,1
2021-01-21,에스엠,트럼프와 바이든의 키스? ‘알페스 소설’ 뭐길래 처벌법까지...,0,0
2021-01-15,에스엠,"김상교, 효연에 재반박 “버닝썬 마약 여배우 못 본 척, 승리랑 친하잖나”",-2,-1
2021-01-14,에스엠,"효연 “버닝썬 마약 여배우 목격? 내가 호구로 보이나, 참는 건 오늘까지”",-2,-1
2021-01-12,에스엠,“남자 아이돌 성범죄 소설 ‘알페스' 처벌해달라” 청원 10만 넘어,0,0
2023-06-01,에스엠,"엑소 백현·시우민·첸 “SM, 노예계약 강요...전속계약 해지 통보”",-1,-1
2023-06-01,에스엠,"
			그룹 엑소 백현·시우민·첸 “전속계약 해지” 통보...소속사 SM “외부세력 이간질”
		",-1,-1
2023-04-06,에스엠,"금감원 특사경, SM엔터 시세조종 의혹 관련 카카오 압수수색",-2,-1
2023-04-07,에스엠,‘SM 시세조작 의혹’ 카카오 임직원 수사,-2,-1
2023-03-27,에스엠,"카카오, SM 공개매수 대흥행... SM 주가는 11% 급락",-1,-1
2023-03-21,에스엠,SM사태 이후 한풀 꺾인 엔터株… “전망 긍정적”,0,0
2023-03-31,에스엠,"“가사가 모든 과정 대변”  SM 주총 앞둔 이수만, 선택한 노래",0,0
2023-03-25,에스엠,하이브 횡재하나… 12만원에 산 SM 주식 15만원에 넘긴다,0,0
2023-03-13,에스엠,카카오가 SM 경영권 가져가고… 하이브는 플랫폼 사업 협업,2,1
2023-03-24,에스엠,"하이브, 카카오에 SM 지분 판다… 1100억 차익 예상",0,0
2023-03-12,에스엠,"하이브, SM 인수 중단... 카카오에 경영권 넘기고 협력 합의",0,0
2023-03-12,에스엠,하이브 “SM 인수 경쟁 과열로 적정가격 넘어”,1,1
2023-03-11,에스엠,[단독]SM 놓고 ‘1조 쩐의 전쟁’ 카카오-하이브 전격 합의,1,1
2023-03-24,에스엠,"SM, 공개매수 마감 앞두고 4%대 급락",-1,-1
2023-03-07,에스엠,SM 폭등… 카카오 “SM 주식 15만원에 공개매수” 공시,1,1
2023-03-03,에스엠,"카카오, SM 지분 확보 무산… 법원, 신주 취득 금지 가처분 인용",-1,-1
2023-03-06,에스엠,"하이브 공개매수 참패, 카카오는 계약해지… SM 운명은",0,0
2023-02-25,에스엠,"K팝 개척한 SM, 이수만 ‘1인 경영’하다 성장 발목",0,0
2023-03-04,에스엠,"이수만 손 들어준 법원...“카카오, SM 신주 취득은 위법”",-1,-1
2023-02-10,에스엠,SM 2대 주주 오르는 카카오 “양측 강점 살려 전방위 시너지 효과”,1,1
2023-02-07,에스엠,"카카오, SM엔터 2대 주주 됐다... 이수만 “상법 위반” 반발",-1,-1
2023-02-03,에스엠,"SM, ‘이수만 없는’ 3.0 시대 연다...”연내 신인 그룹 3팀 데뷔”",2,1
2023-06-21,에스엠,文 정부 ‘학생 전수 평가 폐지’ 이후 기초학력 미달생 계속 증가,0,0
2023-04-14,에스엠,“하이브·JYP·SM 온 뒤 매출 껑충”… 기획사 상권 뜬다,2,1
2023-03-28,에스엠,"하이브, SM주식 절반도 못팔았다",0,0
2023-03-10,에스엠,SM 인수 치열해지자… 엔터주 보유 개미들 신났다,1,1
2023-03-08,에스엠,"“1조 이상 베팅”… 카카오·하이브, SM 놓고 ‘쩐의 전쟁’",0,0
2023-03-13,에스엠,경영권 인수전 막 내리니… SM 주가 23% 곤두박질,0,0
2023-03-09,에스엠,못말리는 SM 주가,0,0
2023-03-02,에스엠,"이복현, SM 시세조종 의혹에 “무관용으로 책임 묻겠다”",-1,-1
2023-02-28,에스엠,"SM 공개매수 마지막 날, 주가 5%대 급등...하이브 VS 카카오 향방은?",1,1
2023-02-27,에스엠,SM 주가 60% 뛰기 6주 전 경영이슈 거론한 국내 증권사,1,1
2023-06-09,에스엠,"[김도훈의 유행민감] 유행은 사라지고 개성은 휘발되는, 독점적 ‘멋진 신세계’",0,0
2023-02-20,에스엠,SM “하이브에 합병되면 SM 가수들 뒷전될 것” 또 비판 성명,0,0
2023-02-12,에스엠,‘SM 전쟁’ 촉발 이창환 “기업 가치 높여 이익 내는 게 목표… 사회운동 아니다”,2,1
2023-02-18,에스엠,"이성수 SM 대표 “주총후 사임할 것… 이수만, 무릎 꿇고 모두에 용서구해야”",0,0
2023-02-11,에스엠,"이수만, 처조카가 등돌리자 라이벌과 연합… SM 지분전쟁 내막",0,0
2023-02-17,에스엠,이수만 처조카 “SM 대표 사임... 그의 탐욕‧독재 못 막았다”,-1,-1
2023-02-10,에스엠,SM 지분 전쟁… 하이브가 15%이상 인수땐 독과점 심사 받는다,0,0
2023-02-10,에스엠,"이수만 지분 사들인 방시혁… 하이브-카카오, SM 주인 놓고 격돌",0,0
2023-02-16,에스엠,"SM 처조카의 폭로전 “이수만 역외탈세 의혹, 하이브는 몰랐나”",-1,-1
2023-02-13,에스엠,[Biz 톡] 계란으로 바위 쳐 SM 흔든 ‘행동주의’ 韓 시장서 자리잡나,0,0
2023-02-15,에스엠,SM 주가 12만원 뚫어…하이브 공개매수 지분확보에도 적신호,0,0
2023-02-14,에스엠,"이수만, SM 분쟁 후 첫 공식석상…경영권 질문엔 침묵",-1,-1
2023-02-14,에스엠,"하이브, SM 공개매수 돌입… 고래싸움에 새우들 신났다",0,0
2023-02-11,에스엠,"SM 놓고, 하이브·카카오 전쟁 시작됐다",0,0
2023-02-07,에스엠,“이수만 퇴진 반대” 김민종에 직원들 “정신 차려야”…SM 내분 터졌다,0,0
2023-05-11,에스엠,K팝이 반도체·AI에 흠뻑 빠졌다,0,0
2023-04-29,에스엠,[단독] BTS 단체활동 중단 발표전 주식 매도?,-1,-1
2023-02-25,에스엠,위기인가 성장통인가… 기로에 선 K팝,0,0
2023-02-24,에스엠,"[논설실의 뉴스 읽기] 자본시장 흔드는 행동주의 투자자… 하이에나인가, 창조적 파괴자인가",0,0
2023-03-09,에스엠,“의장! 이의 있습니다” 행동주의 펀드의 이 외침 ‘구원자’인가 ‘약탈자’인가,0,0
2023-02-16,에스엠,월가도 울고 갈 ‘쩐’의 드리블⋯ 카카오·네이버·하이브·CJ의 베팅 [류현정의 아하! 스토리],0,0
2023-02-17,에스엠,"추가 폭로 예고한 이수만 처조카… 국세청, 탈세의혹 확인 착수",-3,-1
2023-02-22,에스엠,"“자사주 매입, 배당 늘려라”… 행동주의 개미들의 진격",0,0
2023-02-06,에스엠,[만물상] 이수만의 퇴장,0,0
2023-05-30,에스엠,6조원 ‘백현 마이스’ DL이앤씨서 수주,0,0
2023-05-18,에스엠,[단독] 전세계 아미 “BTS 보러 서울 가자”… 방 구하기 전쟁,1,1
2023-04-18,에스엠,아티스트 속속 복귀하자… 엔터株 상승세,1,1
2023-04-25,에스엠,롯데 13년만에 재계 순위 6위로 밀려… 5위 올라선 기업은,0,0
2023-04-10,에스엠,"올해 주가 크게 오른 주식, 사연 알고보니",0,0
2023-04-22,에스엠,"79조 손실 올들어 만회했다는 국민연금, 무슨 종목 샀길래",0,0
2023-04-19,에스엠,한국 부자 순위 바꿨다...사모펀드 부자[만물상],0,0
2023-04-03,에스엠,"행동주의 펀드 쓴잔, 국민연금은 실속… 희비 갈린 주총",0,0
2023-04-07,에스엠,[일사일언] 있을 때 잘해,0,0
2023-03-23,에스엠,"올해 경영권 분쟁, 3년전의 2배 넘어… 주가 급등에 개미들 신났다",-1,-1
2023-02-18,에스엠,하이브 공화국 vs 카카오 제국... “오만·분열로 망한 J팝처럼 될라”,0,0
2023-02-25,에스엠,"퀴즈왕 출신 흙수저, 1%의 주주 권리로 K팝 지축 흔들다",0,0
2023-02-25,에스엠,싸이·BTS 이후… 세계가 따라부르는 ‘대형 히트곡’이 없다,0,0
2023-03-13,에스엠,"[WEEKLY BIZ LETTER] 행동주의 펀드, 구원자일까 약탈자일까",0,0
2023-03-02,에스엠,"한샘, 공개매수 여파로 주가 20% 급등",1,1
2023-02-20,에스엠,[7NEWS] 마일리지에 손 대려다 ‘손 덴’ 대한항공,0,0
2023-02-15,에스엠,"KKR·칼라일 출신들, 자본시장 격변 일으키다",0,0
2023-02-06,에스엠,"[7NEWS]저출산고령위, 나경원 전 의원 해임후 존재감 더 높여야!",0,0
2023-02-17,에스엠,“배당 늘려라” “경영진 바꿔라”… 행동주의펀드와 소액주주 목소리 커져,0,0
2023-01-17,에스엠,진격의 행동주의 펀드… 7대 금융지주 배당까지 늘릴 수 있을까?,0,0
2023-01-31,에스엠,모두 얼어붙었는데 여기만 뜨겁다… 공실률 ‘0’의 거리,0,0
2023-01-17,에스엠,"‘8명 성폭행’ 엑소 출신 크리스, 형기 채운 뒤 화학적 거세?",-1,-1
2019-12-31,에스엠,"
			슈퍼주니어 前멤버 한경, 중국계 美 배우와 결혼
		",0,0
2019-12-30,에스엠,"
			'동방신기' 최강창민, 연하의 비연예인 여성과 열애 인정
		",-1,-1
2019-10-15,에스엠,"
			설리 빈소, 팬 조문 허용…SM엔터 ""따뜻한 인사할 수 있기를""
		",0,0
2019-09-05,에스엠,"
			에프엑스 앰버 이어 루나도 SM 떠난다…""빅토리아 새 방식 협업""
		",0,0
2019-09-01,에스엠,"
			에프엑스 엠버, SM 떠난다...""기다려준 분들 감사""
		",-1,-1
2019-07-01,에스엠,"
			SM 민희진 전 이사 BTS의 '빅히트' 합류
		",1,1
2019-12-26,에스엠,"
			SBS서 부상 당한 웬디, 레드벨벳 당분간 무대 못선다
		",0,0
2019-12-26,에스엠,"
			“웬디 떨어진 리프트, 전날 BTS 때도 말썽”… SBS 비난 쇄도
		",0,0
2019-10-15,에스엠,"'SM의 어벤져스' 데뷔 앨범, 열흘만에 빌보드 1위",3,1
2019-08-08,에스엠,"
			""K팝 어벤져스""...SM, 샤이니·엑소·NCT 등 7인 구성 ‘슈퍼엠’ 발표
		",1,1
2019-11-25,에스엠,21세기판 '라이브 에이드' 내년 9월 한국에서 열린다,0,0
2019-05-30,에스엠,"
			SM ""이수만 일감몰아주기 의혹 사실 아냐…법적 문제 없다""
		",-2,-1
2019-10-17,에스엠,"
			故 설리 발인, 가족·동료 배웅 속 영면
		",0,0
2019-10-14,에스엠,"경찰 ""故 설리 자택서 심경 담은 메모 발견""",-1,-1
2019-10-14,에스엠,"'빌보드1위' 슈퍼엠, 국내 방송 녹화 전격 취소...故 설리 애도 물결 이어져",1,1
2019-10-14,에스엠,"
			샤이니·엑소·NCT 뭉친 K팝 어벤저스 '슈퍼엠' 빌보드 200 1위
		",1,1
2019-08-20,에스엠,"
			레드벨벳 신곡 의상, 해외 브랜드 도용 의혹 제기
		",1,1
2019-08-01,에스엠,"
			강타·우주안 열애설...""영상 업로드는 실수, 몇 년 전 끝난 인연""
		",0,0
2019-06-05,에스엠,"
			'제2의 BTS' 될까…NCT127, 빌보드 11위 등극
		",1,1
2019-06-10,에스엠,"이수만, 멋쩍은 주식부자 1위",0,0
2019-05-30,에스엠,"
			엑소 디오, 7월 1일 군입대 할 듯…엑소 멤버 중 두 번째로 입대
		",-1,-1
2019-05-28,에스엠,"
			'열정 만수르' 유노윤호, 데뷔 15년만에 첫 솔로 앨범
		",4,1
2019-04-26,에스엠,"[단독]H.O.T, 'H.O.T'는 못 쓰지만 '하이파이브 오브 틴에이저스'는 쓸 수 있다",0,0
2019-03-20,에스엠,탄탄하게 구축된 교수와의 인적 네트워크,0,0
2019-03-20,에스엠,"동북아 최고 글로벌 교육 허브를 향해 ...인천글로벌캠퍼스 7년, 선진교육 통합형인재양성의 결실 그 졸업생 이야기",2,1
2019-01-25,에스엠,"
			'아이돌커플' 카이·제니, 공개 연애 한 달만에 결별
		",0,0
2019-01-22,에스엠,아이돌 손잡고 해외시장 공략 나서,1,1
2019-11-27,에스엠,"美 빌보드, 상품+음반 끼워팔기 꼼수 나오자 차트 산정 규칙 강화",3,1
2019-11-05,에스엠,기내 좌석벨트는 이렇게 슈퍼엠 오빠들이 알려주네,0,0
2019-11-16,에스엠,"악플 비극, 더이상 없도록 나서겠습니다",-1,-1
2019-11-08,에스엠,"'슈퍼주니어' 최시원, 유니세프 동아태 친선대사",0,0
2019-11-01,에스엠,中서 한국여행 검색하면 빈페이지… 한국영화·드라마도 사라져,0,0
2019-10-11,에스엠,"
			제시카, 美서 K팝 다룬 소설 '샤인' 출간하며 작가 데뷔
		",1,1
2019-10-16,에스엠,"민노총 ""여성 혐오에 맞서 싸운 젊은 여성들의 동지"" 애도 성명 발표",1,1
2019-10-16,에스엠,"
			매니지먼트협회 ""故 설리 애도…악플러 근절 위해 초강경 대응할 것""
		",0,0
2019-10-16,에스엠,"경찰 ""국과수, 설리 부검 결과 '타살 혐의점 없음' 구두 소견""",-1,-1
2019-10-15,에스엠,"악플 시달린 연예인 설리, 숨진 채 발견",-1,-1
2019-10-15,에스엠,"
			설리 죽음에 구혜선⋅구하라⋅신현준 등 동료 연예인 애도 물결
		",0,0
2019-10-02,에스엠,"아델·샘 스미스 키운 스타 양성소, K팝에 눈돌리다",0,0
2019-10-14,에스엠,"[속보] 연예인 설리, 자택서  숨진 채 발견…경찰 ""극단적 선택한 듯""",-1,-1
2019-10-14,에스엠,"외신 “케이팝스타 설리, 끔찍한 온라인 학대 맞서다 숨져”",0,0
2019-10-14,에스엠,"아역배우 출신 故 설리, 걸그룹 가수로 변신했다 다시 연기자로",0,0
2019-09-26,에스엠,"검찰, 장우혁 'H.O.T. 상표 무단사용' 무혐의 처분",-1,-1
2019-09-05,에스엠,"추석 상품권 깡, 블록체인 앞에선 꽝",0,0
2019-09-05,에스엠,"장우혁, H.O.T. 상표 무단 사용으로 고소당해... 검찰 조사",-2,-1
2019-09-05,에스엠,이젠 EDM 디제이 '효'로 불러주세요,0,0
2019-08-13,에스엠,"
			K팝은 한일 관계 무풍 지대… ""언니오빠 보러 용돈 모아 일본에서 왔어요�l""
		",0,0
2019-08-06,에스엠,"이재룡, 술취해 볼링장 간판 파손...검찰, 기소유예 처분",-1,-1
2019-08-06,에스엠,"
			가수 아니면 요리사 됐을 것이라던 엑소 도경수, 조리병으로 군 복무
		",0,0
2019-08-02,에스엠,"
			강타⋅우주안 ""서로 인연 정리하기로 결정...심려 끼쳐 죄송""
		",-1,-1
2019-07-02,에스엠,"
			'BTS 소속사' 빅히트, 2020년 5월 용산 신사옥으로 확장 이전
		",1,1
2019-06-28,에스엠,"
			""7월은 엑소의 달"" 엑소, 솔로⋅유닛⋅콘서트 다채로운 활동 예고
		",4,1
2019-07-01,에스엠,"
			""오늘은 연예계 軍 '바통터치'의 날"" 엑소 디오 입대·김수현 제대
		",-1,-1
2019-06-21,에스엠,"
			엑소 찬열, 中 사생팬 경찰에 신고 ""오피스텔 무단침입 시도""
		",0,0
2019-06-10,에스엠,"
			NCT 127, 북미⋅남미에 이어 유럽 투어 개최
		",2,1
2019-04-21,에스엠,"박진영, 이수만 제치고 ‘연예인 주식부자 1위' 올라…양현석도 '승리여파'에 흔들",1,1
2019-06-04,에스엠,"
			NCT 127, 美 빌보드200 11위…BTS 다음으로 최고기록
		",1,1
2019-04-27,에스엠,'한류스타' 박유천의 추락…눈물의 기자회견→마약양성→계약해지→구속,-1,-1
2019-04-27,에스엠,"팬클럽 문화까지 수출하는 한류… 美아미들, BTS 1등 만들기 총공격",1,1
2019-05-01,에스엠,"BTS·엑소 음악, 美 맨해튼 중심 '링컨센터'서 울린다",1,1
2019-03-23,에스엠,"[아무튼, 주말] 클럽에서 태어난 제국, 제국에서 추락한 '약국'… 휘청이는 YG",0,0
2019-04-06,에스엠,"NCT127, 글로벌 시장 진출",2,1
2019-03-13,에스엠,승리 스캔들에 YG엔터 이틀새 1337억 증발,0,0
2019-03-13,에스엠,"이청아·정유미 ""'정준영 몰카' 악성 루머 불쾌…법적 조치 강구""",-2,-1
2019-03-13,에스엠,정준영 '지라시' 돌리다 사이버명예훼손 걸린다,0,0
2019-03-12,에스엠,"최종훈·이종현·걸그룹 멤버 오빠도, ""나와 무관"" 잇따라 실명 해명",-1,-1
2019-03-12,에스엠,떠도는 '정준영 몰카 피해 여성' 리스트...2·3차 피해 우려,-2,-1
2019-03-21,에스엠,"샤이니 민호, 4월 해병대 입대… 온유·키 이어 세 번째",-1,-1
2019-02-26,에스엠,"방시혁, 서울대 졸업식 축사… “나와 방탄소년단을 만든 건 부조리에 대한 분노”",0,0
2019-02-23,에스엠,"'방탄의 아버지' 방시혁, 서울대 졸업식 축사 한다",0,0
2019-02-19,에스엠,"SKT, MWC서 영상품질 개선기술 '수퍼노바' 공개",1,1
2019-01-01,에스엠,"
			엑소 카이·블랙핑크 제니 열애…""호감 갖고 있는 사이""
		",-1,-1
2019-01-25,에스엠,"美 한류팬들, 200만원 들여 아기 사슴에 ‘NCT 해찬’ 이름 선물",1,1
2019-01-10,에스엠,"5G, 미디어·게임서 시작",1,1
2019-01-10,에스엠,TV·가전은 질주중… AI·로봇·자율주행차는 추격중,0,0
2019-01-08,에스엠,"삼성, 앙숙 애플과 한 배 타다",0,0
