TITLE,DATE,PRESS,REPORTER,CONTENT
"
			유재석 “내가 신천지? 명백한 허위사실… 법적대응”
		",2020.03.04. 오후 3:14,None,None,None
"
			체리블렛, 미래·코코로·린린 탈퇴…7인조로 개편
		",2019.12.13. 오후 4:10,None,None,None
"
			설현의 끝없는 기부… 청소년 쉼터 위해 5000만원 쾌척
		",2020.01.03. 오전 10:12,None,None,None
"최종훈·이종현·걸그룹 멤버 오빠도, ""나와 무관"" 잇따라 실명 해명",2019-03-12 22:10:03,조선일보,None,"




/SBS 캡처12일 인터넷에선 빅뱅의 멤버 승리(29)의 성접대 의혹과 가수 정준영(30)의 성관계 동영상 불법 촬영·유포 의혹이 제기된 카카오톡 단체 대화방에 참여한 것으로 알려진 연예인들의 실명이 거론되자 이들이 공개 해명에 나섰다. 이 대화방에는 승리와 정준영을 포함해 총 8명이 참여한 것으로 경찰이 확인했다. 또한 정준영은 이 대화방 이외에도 여러 카톡방에서 성관계 영상을 유포했다는 의혹이 제기됐다.FT아일랜드 최종훈은 12일 소속사 FNC엔터테인먼트를 통해 ""해당 연예인들과 친분이 있어 연락을 주고받은 사이였을 뿐 이번 사건과 관련이 없다""고 밝혔다.FNC는 최종훈이 최근 경찰에 참고인 자격으로 출석했다는 점은 인정하면서 ""피내사자 또는 피의자 신분이 아니란 점을 밝혀두고자 한다""고 했다. 그러면서 ""이미 경찰 조사를 마친 최종훈은 이번 성접대 등 의혹과 특별한 관련이 없는 것으로 잠정 결론지어졌다""고 했다.FNC는 씨엔블루 이종현에 대해서도 ""정준영과 오래 전 연락을 하고 지낸 사이였을 뿐, 이번 사건과는 무관하다""고  했다.FNC는 ""온라인에 유포된 아티스트 관련 악성 루머에 대해 강력한 법적 대응을 할 것""이라고 밝혔다.모델 허현의 에이전시 가르텐은 이날 인스타그램에서 ""현재 논란인 모 연예인 카카오톡 대화방 관련해 모델 허현이 포함돼 있다는 의혹이 있는 가운데, 동명이인일 뿐 모델 허현은 전혀 친분도 없으며 본인과 전혀 관계없는 일임을 말씀드린다""고 했다.허현 측은 이어 ""확인되지 않은 허위 사실 유포나 악성 게시물과 댓글로 명예를 훼손하고 피해를 주는 사례에 관해서는 엄격하게 법적 대응할 것""이라고 했다.



모델 허현. /에이전시 가르텐 인스타그램걸그룹 소녀시대의 멤버 유리의 오빠 권혁준씨도 '정준영 몰카 의혹'과 무관하다는 입장을 밝혔다. 권씨는 일부 네티즌이 인스타그램에 비난 댓글을 달자 ""익명이라는 그림자 속에 숨으신 님아. 현재 모든 조사 충실히 받고 있고 제가 지은 죄를 가지고 고개를 들고 못 들고 할 건 그쪽이 판단하실 내용이 아니라 본다""고 반박했다.



/tvN 캡처그는 ""저는 밀땅포차 개업 당시 멤버로 일 관련 카톡에 포함돼 있던 부분이지 성 접대나 기사 내용의 대해서는 아는 바가 없다""고 했다.또한 엑소의 한 멤버가 승리와 정준영의 채팅방에 포함됐다는 소문도 돌았다. 그러자 소속사인 SM엔터테인먼트는 ""현재 온라인에 유포되고 있는 당사 아티스트 관련 내용은 전혀 근거없는 루머""라고 했다. 이어 ""허위 사실이 무분별하게 확대되면서, 아티스트와 당사의 명예를 심각하게 훼손하는 상황으로 번지고 있다""며 선처 없는 법적 대응 방침을 밝혔다.하이라이트의 멤버 용준형도 ""정준영의 불법 촬영 영상이 공유된 그 어떤 채팅방에도 없었다""고 했고, FT아일랜드의 멤버 이홍기도 ""걱정하지 말라""는 입장을 냈다.[오경묵 기자 note@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 -	 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"'음주운전 기밀'유지됐던 최종훈 ""경찰 청탁 안했다""",2019-03-13 20:48:03,조선일보,None,"
			3년 전 음주운전에 적발된 뒤 보도를 막아달라고 경찰에 부탁한 것으로 알려진 FT아일랜드 멤버 최종훈(29)이 음주운전 적발 사실은 인정하면서도 경찰 청탁 의혹에 대해서는 부인했다.최종훈의 소속사 FNC엔터테인먼트는 13일 오후 공식 입장문을 내고 ""최종훈이 지난 2016년 2월 서울 이태원에서 경찰의 음주단속에 걸려 벌금 250만원과 100일 면허정지 처분을 받고 이를 이행한 사실이 있음을 본인을 통해 확인했다""고 밝혔다.



FT아일랜드 멤버 최종훈. /스포츠조선그러나 최종훈이 경찰과 유착해 음주운전 사실이 알려지는 것을 막았다는 주장에 대해서는 ""언론사나 경찰을 통해 그 어떤 청탁도 한 사실은 없음을 본인을 통해 확인했다""고 했다.이날 서울 용산경찰서에 따르면 최종훈은 2016년 2월 21일 새벽 4시 20분쯤 용산구 이태원 일대에서 음주운전을 하다 경찰에 적발됐다. 당시 최종훈의 혈중알코올농도는 0.097%로 면허 정지 수준이었다. 그러나 최종훈의 음주운전 사실은 언론에 단 한 차례도 보도되지 않았다.FNC엔터테인먼트는 당시 상황에 대해 ""두려움을 느낀 최종훈은 (본인이) 얼굴이 많이 알려지지 않은 멤버라고 생각해 조용히 넘어가고자 소속사에 알리지 못하고 스스로 그릇된 판단을 하게 됐다""면서 ""많은 후회와 반성을 하고 있다""고 전했다.소속사는 이어 ""최종훈은 추후 경찰 조사에 적극적으로 협조해 유착 여부 등을 확실히 확인하고, 만일 유착 등이 사실로 드러날 경우 이에 상응하는 모든 법적 책임을 질 예정""이라고 했다. 또 모든 조사가 마무리될 때까지 개인 활동을 비롯해 FT아일랜드 멤버 활동도 모두 중단하겠다고 밝혔다.앞서 이날 경찰청은 민갑룡 경찰청장 기자간담회에서 승리·정준영의 단톡방에 참여한연예인의 음주단속 보도 무마 의혹에 대해 언급했다. 경찰 관계자는 간담회에서 ""(승리의 단톡방에) 과거 음주운전을 한 사람이 보도가 날 것을 우려해 그 부분을 누가 무마해줬다고 하는 내용도 있다""며 ""음주단속에 적발됐는데 연예인이니까 언론에 나올까 두려워서 거기 있는 다른 사람을 부탁해서 보도가 나오는 것을 막았다는 취지의 내용""이라고 설명했다.다음은 최종훈 소속사 FNC엔터테인먼트 입장문 전문.최종훈은 2016년 2월 서울 이태원에서 경찰의 음주단속에 걸려 250만원의 벌금과 100일 면허정지 처분을 받고 이를 이행한 사실이 있음을 본인을 통해 확인했습니다.최종훈은 당시 두려움에 얼굴이 많이 알려지지 않은 멤버라고 생각해 조용히 넘어가고자 소속사에 알리지 못하고 스스로 그릇된 판단을 하게 된 점에 대해 많은 후회와 반성을 하고 있다고 했습니다. 하지만 경찰 유착에 관한 금일 보도와 같이 언론사나 경찰을 통해 그 어떤 청탁도 한 사실은 없음을 본인을 통해 확인했습니다.최종훈은 추후 경찰 조사에 적극 협조해 유착 유무 등을 확실히 확인하고, 만일 유착 등이 사실로 드러날 경우 이에 상응하는 모든 법적 책임을 질 예정입니다.최종훈은 과거 자신의 그릇된 행동들에 깊은 죄책감을 느끼고 주위의 많은 분들께 실망을 끼쳐드린 점, 또한 자신으로 인해 팀에 피해를 준 점에 대해서도 깊게 반성하고 있습니다. 아울러 모든 조사가 마무리될 때까지 예정된 개인 활동은 물론이고 FT아일랜드 멤버로서의 활동도 전면 중단할 것입니다.또한, 최근 최종훈이 일련의 불미스러운 일에 연루된 것과 소속사로서 당시 상황을 미리 인지하지 못한 점에 대해 깊은 책임감을 느낍니다. 앞으로 더욱 철저하게 아티스트 관리에 힘쓸 것임을 거듭 약속드립니다.[최지희 기자 hee@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"박진영, 이수만 제치고 ‘연예인 주식부자 1위' 올라…양현석도 '승리여파'에 흔들",2019-04-21 10:54:02,조선일보,None,"
			JYP엔터테인먼트 대주주이자 대표 프로듀서인 박진영 이사가 연예인 주식부자 1위에 올랐다.



 박진영 JYP엔터테인먼트 대표 프로듀서 / 조선DB21일 재벌닷컴이 평가한 연예인 보유 상장주 가치 자료에 따르면 박 이사가 보유한 JYP 지분 17.8%의 가치는 18일 종가 기준 1922억원에 달했다. 지난해 말 기준 1903억원보다 1.0%(19억원) 증가한 것이다.반면 이수만 SM엔터테인먼트 회장의 보유주식 가치는 1818억원으로, 지난해 말보다 21.1%(488억원) 줄었다.이에 따라 이 회장은 박 이사에게 ‘연예인 주식부자 1위’ 자리를 내줬다. 박 이사가 1위에 오른 것은 최근 JYP의 주가가 SM이나 YG엔터테인먼트 등 다른 ‘엔터주’에 비해 가치 방어를 잘 했기 때문이라는 분석이다. JYP 주가는 18일 기준  작년 말보다 1.16% 상승해 시가총액 1조 952억원을 기록했다. 반면 SM의 주가는 지난해 말 대비 21.22% 하락했고, 양현석 대표의 YG엔터테인먼트도 주가가 21.89%나 하락했다. 특히 YG는 빅뱅의 전 멤버 승리(29)가 연루된 ‘버닝썬 게이트’ 여파에 시달린 데다 국세청 세무조사까지 겹친 것이 악재로 작용한 것으로 전해졌다..YG 주가 하락 때문에 양현석 대표가 보유한 주식 가치도 1263억원으로 작년 말보다 322억원(20.3%)이 하락했다.영화배우 배용준도 SM의 주가 하락 때문에 재산이 줄어들었다. 배용준은 지난해 말에 비해 102억원 줄어든 379억원의 SM 주식을 보유하고 있다. 키이스트 최대주주였던 배용준은 작년 초 SM과 키이스트의 합병으로 키이스트 주식을 전부 SM에 넘기는 대신 SM 지분을 받았다.함영준 오뚜기 회장의 장녀로 오뚜기 지분 1.19%를 가지고 있는 뮤지컬 배우 함연지는 313억원 상당의 주식을 보유하고 있다. 지난해 말보다는 1억원이 늘었다.가수 출신 한성호 FNC엔터테인먼트 회장의 주식 가치는 지난해 말보다 36억원(14.6%) 증가한 286억원이다. 그는 FNC 지분 22.02%를 보유하고 있다.[박진우 기자 nicholas@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"씨엔블루 이종현도 ""정준영 동영상 봤다"" 뒤늦게 사과…팬들 ""퇴출하라""",2019-03-15 14:23:01,조선일보,None,"
			밴드 씨엔블루(CNBLUE) 멤버 이종현(29) 측이 가수 정준영(30)과 카카오톡을 통해 성관계 동영상을 공유했다는 의혹을 뒤늦게 시인하고 사과했다. 씨엔블루 일부 팬들은 이종현 퇴출을 요구하고 나섰다.



연합뉴스◇ 이종현 ""카톡서 영상 보고 여성 비하·부적절한 대화했다""이종현 소속사 FNC 엔터테인먼트는 15일 오전 11시 ""전날 SBS 보도 후 이종현과 연락이 닿아 사실 확인을 했다""며 ""이종현이 카카오톡 상에서 영상을 보거나 여성 비하와 성에 관련한 부적절한 대화를 한 것은 비난받아 마땅하며 반성하고 있다""고 밝혔다.이종현 측은 또 ""(이종현이) 제대로 된 성의식을 가졌다면 방관하지 않았을텐데 그렇지 못해 뉘우치고 있다""며 ""부도덕하고 문란한 대화를 죄의식 없이 나눠 상처를 입은 분과 실망을 하셨을 분께 사과드린다""고 했다.지난해 8월 현역으로 입대한 이종현은 이날 소셜미디어 게시물을 삭제하고 계정을 비공개로 전환했다.SBS는 전날 '뉴스8' 이종현이 정준영이 카톡 단체방과 일대일 개인 대화방에서 성관계 영상을 받아봤고, 여성을 물건 취급했다고 보도했다.



SBS 뉴스8 캡처보도에 따르면 이종현이 카톡방에서 ""빨리 여자 좀 넘겨요. O같은 X들로""라고 하자 정준영은 ""누구 줄까""라고 답했다. 그러자 이종현은 ""형이 안***있으면 좋고 없으면 그냥 예쁜 X"", ""어리고 예쁘고 착한X 없어? 가지고 놀기 좋은""이라고 답했다. 또 이종현이 ""나 어제 OO애들이랑 XXXX했어""라고 하자 정준영이 ""괜찮네. 다음에 나 소개시켜줘""라고 나눈 대화도 있다.◇ 의혹 부인하다 증거 나오니 인정…팬들 ""이종현 퇴출하라"" 소속사는 앞서 불법 촬영 영상 공유 의혹을 부인한 ‘거짓 해명’ 논란에 대해서도 입장을 밝혔다.FNC는 ""군 복무 중인 이종현은 공식입장을 발표하기 전인 12일 오후 부대를 방문한 경찰의 수사 협조 요청에 응했다""며 ""이종현은 당시 경찰이 제시한 정준영과의 일대일 대화 내용 약 20건 속에는 본인의 불법 영상 유포는 물론이고 부적절한 동영상 확인 및 문제가 될 만한 대화 내용이 없었음을 인지했기 때문에 당시 입장을 전했다""고 했다.이어 ""이종현이 오래 전 해당 채팅방을 나갔기 때문에 4~5년 전 카톡 대화 내용에 대한 정확한 사실 확인이 어려운 상태였다""면서 ""이종현의 과거 기억에 의존한 주장을 바탕으로 한 입장을 전할 수밖에 없었다. 사실을 감추거나 잘못을 감싸려는 의도는 전혀 없었다""고 해명했다.공식 입장 발표가 늦어진 이유에 대해서는 ""이종현이 현재 군복무 중인 관계로 정확한 사실 관계 파악과 입장을 정리하는데 다소 시간이 걸렸다""고 했다.



SBS 뉴스8 캡처앞서 지난 11일 한 카톡 대화방에서 정준영이 성관계 동영상을 보내며 ""상가에서 관계했어. 난 쓰레기야""라고 하자 가수 이모씨가 ""즐길 수 있을 때 실컷 즐겨요"" 라고 답한 내용이 보도됐다. 이후 가수 이모씨가 이종현이라는 추측이 제기됐다. 그러자 FNC는 다음날인 12일 ""이종현은 현재 사회적으로 물의를 빚고 해당 연예인들과 친분이 있어 연락을 주고받는 사이였을 뿐, 이번 사건과 관련이 없음을 분명히 밝힌다""며 반박했다.결국 이종현이 불법 동영상을 본 사실이 확인되자 네티즌 사이에선 ‘거짓 해명’에 대한 비난이 쏟아졌고, 소속사를 신뢰하지 못하겠다는 반응도 나왔다.



디시인사이드 CNBLUE 갤러리 캡처씨엔블루 팬들도 이종현 퇴출을 요구하고 나섰다.인터넷 커뮤니티 디시인사이드 씨엔블루 갤러리는 15일 '씨엔블루 이종현 퇴출 요구 성명서'를 발표하고 ""이종현은 씨엔블루의 이미지를 이미 실추시켰으며, 앞으로 다방면의 활동에 있어 큰 타격이 예상된다""며  ""이종현의 활동 중단이 아닌 퇴출을 강력하게 요구한다""고 밝혔다.이들은 ""이종현이 단톡방에서 역시 여성들을 상품화하는 발언을 스스럼없이 하는 등 공인으로서의 본분을 망각한 행동을 지속적으로 유지해 왔다""면서 ""이종현의 위법 사실은 경찰 수사로 인해 시비가 밝혀지겠지만, 성범죄에 대한 사회적 인식과 더불어 팬 대다수의 구성원이 여성인 상황에서 이종현의 활동을 수용하고 소비할 수 없다""고 했다.역시 FNC소속인 FT아일랜드 최종훈도 전날 그룹을 탈퇴하고 연예계를 은퇴하겠다고 발표했다.앞서 승리는 지난 11일 ""국민 역적으로까지 몰리는 상황""이라며 연예계 은퇴를 선언했고, 정준영도 13일 활동 중단을 선언했다. 그룹 하이라이트 용준형(30)도 14일 정준영이 유포한 성관계 몰래카메라 영상을 공유한 사실을 뒤늦게 시인하고 팀에서 탈퇴했다.[진태희 인턴 기자 ]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"FT아일랜드 팬들, ""'음주운전·경찰청탁' 최종훈 퇴출하라"" 성명 발표",2019-03-14 11:15:03,조선일보,None,"
			그룹 FT아일랜드의 일부 팬들이 음주운전 사건 보도 무마 청탁 의혹을 받는 멤버 최종훈(29)의 퇴출을 소속사인 FNC엔터테인먼트에 요구하고 나섰다. 최종훈은 빅뱅의 멤버 승리(29)의 성접대 시도 의혹과 가수 정준영(30)의 성관계 몰래카메라 영상 유포 의혹이 제기된 카카오톡 단체 채팅방에 참여한 8명 중 한 명이다.



스포츠조선인터넷 커뮤니티 디시인사이드 FT아일랜드 갤러리는 13일 'FT아일랜드 최종훈 퇴출 요구 성명서'를 발표하고 ""불법 촬영과 음주운전 청탁 등의 이유로 멤버 최종훈의 퇴출을 강력히 요구한다""고 밝혔다.이들은 ""FNC와 최종훈은 FT아일랜드와 다른 멤버에 대한 루머와 구설에도 사태를 해결하기 위한 실질적인 조치를 취하지 않았고, FT아일랜드를 지지해온 팬들은 실망감을 감출 수 없었다""며 ""FNC가 발표한 공식 입장에는 성 접대 의혹에 대한 내용만 있을 뿐 불법 촬영에 대해서는 어떠한 언급조차 없었고 사건의 당사자인 최종훈은 여전히 침묵하고 있다""고 했다.



디시인사이드 FT아일랜드 갤러리 캡처이어 ""최종훈은 논란의 중심인 '정준영 단체 대화방'에서 여성들을 상품화하는 발언을 서스럼없이 하는 등 본분을 망각한 행동을 지속적으로 했다""며 ""성범죄에 대한 사회적 인식과 더불어 팬덤 대다수의 구성원이 여성인 상황에서 최종훈의 활동을 수용하고 소비할 수 없다""고 했다. 그러면서 ""최종훈은 팀의 리더이자 맏형으로서, 그리고 가수이자 공인으로서 본분은 망각하고 사회적 물의를 일으켜 같은 팀 멤버도 논란의 중심이 되게 했고, FT아일랜드와 FNC의 브랜드 가치와 이미지를 실추시켰다""며 ""최종훈의 활동 중단이 아닌 퇴출을 강력하게 요구한다""고 했다.FNC는 앞서 최종훈의 승리·정준영 사건 연루 의혹이 제기되자 12일 ""최종훈은 승리와 정준영과 친분이 있어 연락을 주고받았을 뿐""이라며 ""수사 협조 요청이 와 참고인 자격으로 경찰에 출석한 것으로 피내사자 또는 피의자 신분은 아니다""라고 해명했다.하지만 다음날 오후 최종훈이 지난 2016년 경찰 음주 운전 단속에 걸렸고, 이 내용이 언론에 보도되지 않도록 경찰에 청탁해 보도를 막았다는 의혹이 제기돼 경찰이 내사에 착수했다는 사실이 알려지면서 또다시 논란의 중심에 섰다. SBS가 공개한 단톡방 대화 내역에 따르면 최종훈은 ""저는 다행히 ㅇㅇ형 은혜 덕분에 살았다""고 하고, 정준영이 ""종훈이 이번에 (신문) 1면에 날 수 있었는데""라고 반응한다. 승리는 ""다음 음주운전은 막아줄 거란 생각 말아라. ㅇㅇ형이 자기 돈 써서 입 막아줬더니""라고 말한다.



SBS ‘뉴스8’ 방송화면 캡처최종훈은 2016년 2월 21일 새벽 4시 20분쯤 용산구 이태원 일대에서 음주 운전을 하다 경찰에 적발됐다. 당시 혈중알코올농도는 0.097%로 면허 정지 수준이었던 것으로 알려졌다. 하지만 이런 사실은 언론에 보도되지 않았다.FNC는 13일 입장문을 내고 ""당시 최종훈이 경찰의 음주단속에 걸려 250만원의 벌금과 100일 면허정지 처분을 받은 것을 확인했다""며 ""하지만 언론사나 경찰을 통해 그 어떤 청탁도 한 적이 없음을 본인을 통해 확인했다""고 해명했다. 또 ""최종훈은 추후 경찰 조사에 적극적으로 협조해 유착 여부 등을 확실히 확인하고, 만일 유착 등이 사실로 드러날 경우 이에 상응하는 모든 법적 책임을 질 예정""이라며 ""법적 조사가 마무리될 때까지 활동을 모두 중단하겠다""고 했다.[노우리 인턴 기자 ]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"최종훈도 결국 연예계 은퇴…소속사 ""추가 불법행위 의심""",2019-03-14 17:30:03,조선일보,None,"
			빅뱅 승리(29·본명 이승현)과 가수 정준영(30)이 참여한 카카오톡 단체 채팅방 멤버였던 FT아일랜드 멤버 최종훈(29)이 14일 팀에서 탈퇴하고 연예계에서 은퇴하겠다고 밝혔다. 앞서 승리는 지난 11일 ""국민 역적으로까지 몰리는 상황""이라며 연예계 은퇴를 선언했고, 정준영도 13일 활동 중단을 선언했다. 그룹 하이라이트 용준형(30)도 이날 정준영이 유포한 성관계 몰래카메라 영상을 공유한 사실을 뒤늦게 시인하고 팀에서 탈퇴했다. 



스포츠조선최종훈의 소속사 FNC엔터테인먼트는 이날 ""잇따른 사건에 연루돼 물의를 빚은 최종훈은 FT아일랜드를 탈퇴한다. 연에계에서도 은퇴하기로 했다""고 밝혔다.FNC는 ""이번 사안에 대해 사실을 감추거나 덮으려는 의도가 없음을 명확하게 밝힌다""며 ""오래 전 일을 최대한 본인에게 확인 과정을 거친 후 입장을 밝혔다. 이 과정에서 정확하지 않은 입장 발표로 혼란을 일으킨 점에 대해 깊은 사과 드린다""고 했다.이는 전날 최종훈이 2016년 2월 경찰 음주 단속에 걸렸지만 이 내용이 보도되지 않도록 경찰에 청탁했다는 의혹이 제기되자 ""언론사나 경찰을 통해 그 어떤 청탁도 한 적이 없음을 본인을 통해 확인했다""고 해명한 것에 대해 비판 여론이 일자 해명한 것으로 보인다.FNC는 이어 ""(최종훈) 본인은 기억나지 않는다고 하나 불법 행위와 관련해 추가로 의심되는 정황이 있어 이번주 내로 경찰 조사를 성실하게 받을 예정""이라며 ""최종훈은 과거 부적절하고 부끄러운 언행으로 피해를 보신 분에게 사죄 드리며, 많은 팬과 팀 멤버에게 깊은 실망을 안긴 점에 대해서도 뼛속 깊이 반성하고 있다""고 했다.이어 ""소속 아티스트 관리 및 인성 교육을 소홀히 한 점과 불미스러운 일로 많은 분에게 심려를 끼친 점 고개 숙여 진심으로 사죄 드린다""고 했다.최종훈은 승리의 성접대 시도 의혹과 정준영의 성관계 몰래카메라 영상 유포 의혹이 제기된 카카오톡 단체 채팅방 멤버 8명에 포함된 사실이 알려져 사건 연루 의혹을 받았다. 최종훈 측은 지난 12일 ""승리·정준영과 친분이 있어 연락을 주고받았을 뿐""이라며 ""수사 협조 요청이 와 참고인 자격으로 경찰에 출석한 것으로 피내사자 또는 피의자 신분은 아니다""라고 해명했다.



SBS 방송화면 캡처하지만 다음날 오후 음주운전 적발 사실과 함께 사건이 언론에 보도되지 않도록 경찰에 청탁했다는 의혹에 대해 경찰이 내사에 착수했다는 사실이 알려지면서 또다시 논란의 중심에 섰다. SBS가 공개한 단톡방 대화 내역에 따르면 최종훈은 ""저는 다행히 ㅇㅇ형 은혜 덕분에 살았다""고 하고, 정준영이 ""종훈이 이번에 (신문) 1면에 날 수 있었는데""라고 반응한다. 승리는 ""다음 음주운전은 막아줄 거란 생각 말아라. ㅇㅇ형이 자기 돈 써서 입 막아줬더니""라고 말했다.[노우리 인턴 기자 ]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"정용화·크래비티 7명 ‘돌파감염’… 가요계, 일주일 새 20여명 확진",2022-02-13 15:35:01,조선일보,문지연 기자,"




밴드 '씨엔블루' 보컬 정용화. /인스타그램										국내 코로나 확산세가 연일 거센 가운데 가요계도 그 여파를 피하지 못하고 있다. 컴백을 코앞에 둔 그룹 ‘크래비티’는 멤버 9명 중 7명이 무더기 양성 판정을 받았고 밴드 ‘씨엔블루’ 보컬 정용화는 백신 3차 접종까지 마쳤지만 감염됐다.크래비티 소속사 스타쉽 엔터테인먼트는 13일 “지난 11일 저녁 멤버 태영이 발열 증세를 보여 멤버 전원이 자가진단 키트 검사를 했고 형준이 양성 반응을 보여 곧바로 전원 PCR(유전자 증폭) 검사를 받았다”며 “그 결과 세림, 앨런, 정모, 민희, 형준, 태영, 성민이 양성 판정을 받았다”고 밝혔다.이어 “멤버 전원은 백신 2차 접종을 완료한 상태였고 스케줄 진행 시 자가키트로 검사해 음성을 확인한 후 이행했다”며 “현재 모두 발열과 인후통 외 다른 증상은 없다. 양성 멤버들은 재택 치료를 위한 격리·휴식을 취하고 있고 음성 멤버인 우빈, 원진은 자가격리 중”이라고 했다.



9인조 그룹 '크래비티'. /뉴시스										이에 따라 크래비티는 오는 22일 예정된 정규앨범 발매를 연기하게 됐다. 스타쉽 측은 “모든 스케줄을 중단하고 치료에 전념할 예정”이라며 “심려를 끼쳐드린 점 사과드린다. 멤버들의 건강 회복과 안전을 위해 최선을 다하겠다”고 덧붙였다.같은 날 씨엔블루 보컬 정용화도 확진 소식을 전했다. 마찬가지로 백신 3차 접종(부스터샷)까지 완료한 ‘돌파감염’ 사례다. 소속사 FNC 엔터테인먼트는 이날 “정용화가 PCR(유전자 증폭) 검사 결과 양성 판정을 받았다”며 “가벼운 목감기 증상만 있다. 완치 판정을 받을 때까지 방역당국 지침에 따라 자가격리와 필요한 조치를 받겠다”고 말했다.인기 그룹 ‘있지(ITZY)’에서도 확진자가 나왔다. 소속사 JYP 엔터테인먼트는 이날 “멤버 리아가 오늘 오전 코로나 확진 판정을 받았다”며 “백신 2차 접종까지 마친 상태이며, 전날 스케줄 참석 전 자가진단 키트 검사에서 양성 반응이 나왔고 PCR 검사에서 최종 양성으로 확인됐다”고 했다.



그룹 '있지' 멤버 리아. /뉴시스										그러면서 “리아는 현재 가벼운 기침 외 다른 증상은 없으며 재택 치료 중”이라며 “다른 멤버들도 검사한 결과 류진·채령은 음성 판정을 받았고 예지·유나는 미결정 판정이 나와 재검사 결과를 기다리고 있다”고 전했다.최근 오미크론 변이가 전방위로 확산하며 방송가는 비상에 걸렸다. 앞서 SBS 예능프로그램 ‘런닝맨’ 멤버 지석진, 김종국, 하하, 양세찬이 모두 양성 판정을 받았고 배우 이병헌·이민정 부부도 감염됐다. 가요계에서는 지난 일주일 사이에만 그룹 ‘에픽하이’ 타블로, ‘엔하이픈’ 선우, ‘세븐틴’ 원우, ‘T1419′ 건우, ‘블랭키’ 이영빈·김태우·박동혁·박시우, ‘2am’ 조권·정진운·임슬옹 등 20여명이 확진 소식을 알렸다.한편 질병관리청 중앙방역대책본부에 따르면 이날 0시 기준 코로나 신규 확진자는 역대 최다인 5만6431명이다. 코로나 오미크론 변이 확산으로 나흘째 기록한 5만명대다.▷코로나19 특집 바로가기
"
"SF9 찬희·휘영, 강남 술집서 새벽까지 ‘생파’… 방역위반 입건",2022-01-27 17:26:01,조선일보,김소정 기자,"
“방역수칙 위반, 죄송”							인기 아이돌 그룹 ‘SF9′ 멤버 찬희(22)와 휘영(23)이 방역수칙을 어기고 새벽까지 술집에서 머물다 경찰에 적발됐다.



(왼쪽부터) SF9 휘영, 찬희										경찰은 지난 18일 서울 강남구 논현동의 한 술집이 영업 제한인 밤 9시 이후에도 운영 중이라는 신고를 받고 출동했다. 당시 술집에는 찬희, 휘영 일행과 종업원 등 총 10여명이 있었던 것으로 알려졌다. 경찰은 이들을 감염병예방법 위반 혐의로 입건했다.두 사람은 경찰 조사에서 찬희의 생일파티를 하고 있었다고 진술한 것으로 알려졌다. 이들이 속한 그룹 SF9는 사건 발생 후인 21일부터 23일까지 서울 올림픽공원에서 콘서트를 진행하는 등 활발히 활동을 이어갔다.소속사 FNC엔터테인먼트는 27일 “지난 18일 새벽 1시 휘영, 찬희가 지인과의 모임으로 방역수칙을 위반한 사실을 인지했다”며 “휘영, 찬희는 모든 일정이 끝난 밤 찬희의 생일을 맞아 지인의 연락을 받고 논현동의 홀덤펍을 찾았으며, 이 과정에서 방역 수칙 위반 단속으로 조사를 받게 됐다”고 밝혔다.이어 “휘영, 찬희는 부주의하고 지탄받아 마땅할 만한 행동을 한 것이 분명하며, 팬분들은 물론 대중분들께 심려를 끼쳐드린 점에 대해 자책하고 있으며 깊이 반성하고 후회하고 있다”고 사과했다.
"
